DATE,GEO,DGUID,Labour force characteristics,Sex,Age group,Statistics,Data type,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2007-04-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,8712.4,,,,1
2007-05-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,8718.8,,,,1
2007-06-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,8726.3,,,,1
2007-07-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,8736,,,,1
2007-08-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,8742.5,,,,1
2007-09-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,8748.5,,,,1
2007-10-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,8754.6,,,,1
2007-11-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,8760.6,,,,1
2007-12-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,8766.4,,,,1
2008-01-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,8771.9,,,,1
2008-02-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,8776.4,,,,1
2008-03-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,8782.2,,,,1
2008-04-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,8789.7,,,,1
2008-05-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,8796.9,,,,1
2008-06-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,8807.1,,,,1
2008-07-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,8815.3,,,,1
2008-08-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,8821.6,,,,1
2008-09-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,8828.2,,,,1
2008-10-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,8833.6,,,,1
2008-11-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,8838.2,,,,1
2008-12-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,8842.9,,,,1
2009-01-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,8847.2,,,,1
2009-02-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,8852.2,,,,1
2009-03-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,8857.4,,,,1
2009-04-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,8863.3,,,,1
2009-05-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,8870.6,,,,1
2009-06-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,8880.5,,,,1
2009-07-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,8889.3,,,,1
2009-08-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,8897.4,,,,1
2009-09-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,8906.3,,,,1
2009-10-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,8912.9,,,,1
2009-11-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,8919.3,,,,1
2009-12-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,8924.9,,,,1
2010-01-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,8930.2,,,,1
2010-02-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,8936.5,,,,1
2010-03-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,8944,,,,1
2010-04-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,8951.7,,,,1
2010-05-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,8960.4,,,,1
2010-06-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,8972.5,,,,1
2010-07-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,8982.8,,,,1
2010-08-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,8993.3,,,,1
2010-09-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,9000.6,,,,1
2010-10-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,9007.1,,,,1
2010-11-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,9013.1,,,,1
2010-12-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,9017.6,,,,1
2011-01-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,9022,,,,1
2011-02-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,9026.2,,,,1
2011-03-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,9031.2,,,,1
2011-04-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,9036.5,,,,1
2011-05-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,9042.8,,,,1
2011-06-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,9049.1,,,,1
2011-07-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,9052.5,,,,1
2011-08-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,9059.4,,,,1
2011-09-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,9063.7,,,,1
2011-10-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,9068.1,,,,1
2011-11-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,9071.5,,,,1
2011-12-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,9075.5,,,,1
2012-01-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,9077.2,,,,1
2012-02-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,9078.5,,,,1
2012-03-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,9081.3,,,,1
2012-04-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,9085.8,,,,1
2012-05-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,9090,,,,1
2012-06-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,9095.3,,,,1
2012-07-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,9100.4,,,,1
2012-08-01,Ontario,2016A000235,Population,Both sexes,15 to 64 years,Estimate,Seasonally adjusted,Persons,249,thousands,3,v21581321,7.1.1.8.1.1,9102.9,,,,1
