YEAR,GEO,DGUID,Family type,Age of older adult,Family income,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2015,"Toronto, Ontario",2016S0503535,Lone-parent families,Total all ages,Total all income groups,Number,223,units,0,v21249796,19.2.1.1,240250,,,,0
2016,"Toronto, Ontario",2016S0503535,Lone-parent families,Total all ages,Total all income groups,Number,223,units,0,v21249796,19.2.1.1,239170,,,,0
2017,"Toronto, Ontario",2016S0503535,Lone-parent families,Total all ages,Total all income groups,Number,223,units,0,v21249796,19.2.1.1,251080,,,,0
2018,"Toronto, Ontario",2016S0503535,Lone-parent families,Total all ages,Total all income groups,Number,223,units,0,v21249796,19.2.1.1,251780,,,,0
2000,"Toronto, Ontario",2016S0503535,Lone-parent families,Total all ages,Median total income,Dollars,81,units,0,v21249816,19.2.1.23,29400,,,,0
2001,"Toronto, Ontario",2016S0503535,Lone-parent families,Total all ages,Median total income,Dollars,81,units,0,v21249816,19.2.1.23,31900,,,,0
2002,"Toronto, Ontario",2016S0503535,Lone-parent families,Total all ages,Median total income,Dollars,81,units,0,v21249816,19.2.1.23,32600,,,,0
2003,"Toronto, Ontario",2016S0503535,Lone-parent families,Total all ages,Median total income,Dollars,81,units,0,v21249816,19.2.1.23,32300,,,,0
2004,"Toronto, Ontario",2016S0503535,Lone-parent families,Total all ages,Median total income,Dollars,81,units,0,v21249816,19.2.1.23,33100,,,,0
2005,"Toronto, Ontario",2016S0503535,Lone-parent families,Total all ages,Median total income,Dollars,81,units,0,v21249816,19.2.1.23,31600,,,,0
2006,"Toronto, Ontario",2016S0503535,Lone-parent families,Total all ages,Median total income,Dollars,81,units,0,v21249816,19.2.1.23,35600,,,,0
2007,"Toronto, Ontario",2016S0503535,Lone-parent families,Total all ages,Median total income,Dollars,81,units,0,v21249816,19.2.1.23,37090,,,,0
2008,"Toronto, Ontario",2016S0503535,Lone-parent families,Total all ages,Median total income,Dollars,81,units,0,v21249816,19.2.1.23,38380,,,,0
2009,"Toronto, Ontario",2016S0503535,Lone-parent families,Total all ages,Median total income,Dollars,81,units,0,v21249816,19.2.1.23,38250,,,,0
2010,"Toronto, Ontario",2016S0503535,Lone-parent families,Total all ages,Median total income,Dollars,81,units,0,v21249816,19.2.1.23,39340,,,,0
2011,"Toronto, Ontario",2016S0503535,Lone-parent families,Total all ages,Median total income,Dollars,81,units,0,v21249816,19.2.1.23,39590,,,,0
2012,"Toronto, Ontario",2016S0503535,Lone-parent families,Total all ages,Median total income,Dollars,81,units,0,v21249816,19.2.1.23,40280,,,,0
2013,"Toronto, Ontario",2016S0503535,Lone-parent families,Total all ages,Median total income,Dollars,81,units,0,v21249816,19.2.1.23,41150,,,,0
2014,"Toronto, Ontario",2016S0503535,Lone-parent families,Total all ages,Median total income,Dollars,81,units,0,v21249816,19.2.1.23,43380,,,,0
2015,"Toronto, Ontario",2016S0503535,Lone-parent families,Total all ages,Median total income,Dollars,81,units,0,v21249816,19.2.1.23,45440,,,,0
2016,"Toronto, Ontario",2016S0503535,Lone-parent families,Total all ages,Median total income,Dollars,81,units,0,v21249816,19.2.1.23,47480,,,,0
2017,"Toronto, Ontario",2016S0503535,Lone-parent families,Total all ages,Median total income,Dollars,81,units,0,v21249816,19.2.1.23,47240,,,,0
2018,"Toronto, Ontario",2016S0503535,Lone-parent families,Total all ages,Median total income,Dollars,81,units,0,v21249816,19.2.1.23,50280,,,,0
2000,"Toronto, Ontario",2016S0503535,Lone-parent families,25 to 34 years,Total all income groups,Number,223,units,0,v21249833,19.2.3.1,39940,,,,0
2001,"Toronto, Ontario",2016S0503535,Lone-parent families,25 to 34 years,Total all income groups,Number,223,units,0,v21249833,19.2.3.1,41650,,,,0
2002,"Toronto, Ontario",2016S0503535,Lone-parent families,25 to 34 years,Total all income groups,Number,223,units,0,v21249833,19.2.3.1,40810,,,,0
2003,"Toronto, Ontario",2016S0503535,Lone-parent families,25 to 34 years,Total all income groups,Number,223,units,0,v21249833,19.2.3.1,43210,,,,0
2004,"Toronto, Ontario",2016S0503535,Lone-parent families,25 to 34 years,Total all income groups,Number,223,units,0,v21249833,19.2.3.1,42050,,,,0
2005,"Toronto, Ontario",2016S0503535,Lone-parent families,25 to 34 years,Total all income groups,Number,223,units,0,v21249833,19.2.3.1,42550,,,,0
2006,"Toronto, Ontario",2016S0503535,Lone-parent families,25 to 34 years,Total all income groups,Number,223,units,0,v21249833,19.2.3.1,38410,,,,0
2007,"Toronto, Ontario",2016S0503535,Lone-parent families,25 to 34 years,Total all income groups,Number,223,units,0,v21249833,19.2.3.1,37070,,,,0
2008,"Toronto, Ontario",2016S0503535,Lone-parent families,25 to 34 years,Total all income groups,Number,223,units,0,v21249833,19.2.3.1,36520,,,,0
2009,"Toronto, Ontario",2016S0503535,Lone-parent families,25 to 34 years,Total all income groups,Number,223,units,0,v21249833,19.2.3.1,36430,,,,0
2010,"Toronto, Ontario",2016S0503535,Lone-parent families,25 to 34 years,Total all income groups,Number,223,units,0,v21249833,19.2.3.1,36890,,,,0
2011,"Toronto, Ontario",2016S0503535,Lone-parent families,25 to 34 years,Total all income groups,Number,223,units,0,v21249833,19.2.3.1,36450,,,,0
2012,"Toronto, Ontario",2016S0503535,Lone-parent families,25 to 34 years,Total all income groups,Number,223,units,0,v21249833,19.2.3.1,36660,,,,0
2013,"Toronto, Ontario",2016S0503535,Lone-parent families,25 to 34 years,Total all income groups,Number,223,units,0,v21249833,19.2.3.1,36030,,,,0
2014,"Toronto, Ontario",2016S0503535,Lone-parent families,25 to 34 years,Total all income groups,Number,223,units,0,v21249833,19.2.3.1,34890,,,,0
2015,"Toronto, Ontario",2016S0503535,Lone-parent families,25 to 34 years,Total all income groups,Number,223,units,0,v21249833,19.2.3.1,34800,,,,0
2016,"Toronto, Ontario",2016S0503535,Lone-parent families,25 to 34 years,Total all income groups,Number,223,units,0,v21249833,19.2.3.1,33590,,,,0
2017,"Toronto, Ontario",2016S0503535,Lone-parent families,25 to 34 years,Total all income groups,Number,223,units,0,v21249833,19.2.3.1,34550,,,,0
2018,"Toronto, Ontario",2016S0503535,Lone-parent families,25 to 34 years,Total all income groups,Number,223,units,0,v21249833,19.2.3.1,33270,,,,0
2000,"Toronto, Ontario",2016S0503535,Lone-parent families,25 to 34 years,Median total income,Dollars,81,units,0,v21249848,19.2.3.23,20500,,,,0
2001,"Toronto, Ontario",2016S0503535,Lone-parent families,25 to 34 years,Median total income,Dollars,81,units,0,v21249848,19.2.3.23,22300,,,,0
2002,"Toronto, Ontario",2016S0503535,Lone-parent families,25 to 34 years,Median total income,Dollars,81,units,0,v21249848,19.2.3.23,22600,,,,0
2003,"Toronto, Ontario",2016S0503535,Lone-parent families,25 to 34 years,Median total income,Dollars,81,units,0,v21249848,19.2.3.23,21900,,,,0
2004,"Toronto, Ontario",2016S0503535,Lone-parent families,25 to 34 years,Median total income,Dollars,81,units,0,v21249848,19.2.3.23,22400,,,,0
2005,"Toronto, Ontario",2016S0503535,Lone-parent families,25 to 34 years,Median total income,Dollars,81,units,0,v21249848,19.2.3.23,21500,,,,0
2006,"Toronto, Ontario",2016S0503535,Lone-parent families,25 to 34 years,Median total income,Dollars,81,units,0,v21249848,19.2.3.23,24300,,,,0
2007,"Toronto, Ontario",2016S0503535,Lone-parent families,25 to 34 years,Median total income,Dollars,81,units,0,v21249848,19.2.3.23,25220,,,,0
2008,"Toronto, Ontario",2016S0503535,Lone-parent families,25 to 34 years,Median total income,Dollars,81,units,0,v21249848,19.2.3.23,25830,,,,0
2009,"Toronto, Ontario",2016S0503535,Lone-parent families,25 to 34 years,Median total income,Dollars,81,units,0,v21249848,19.2.3.23,25830,,,,0
2010,"Toronto, Ontario",2016S0503535,Lone-parent families,25 to 34 years,Median total income,Dollars,81,units,0,v21249848,19.2.3.23,27450,,,,0
2011,"Toronto, Ontario",2016S0503535,Lone-parent families,25 to 34 years,Median total income,Dollars,81,units,0,v21249848,19.2.3.23,26200,,,,0
2012,"Toronto, Ontario",2016S0503535,Lone-parent families,25 to 34 years,Median total income,Dollars,81,units,0,v21249848,19.2.3.23,26520,,,,0
2013,"Toronto, Ontario",2016S0503535,Lone-parent families,25 to 34 years,Median total income,Dollars,81,units,0,v21249848,19.2.3.23,26630,,,,0
2014,"Toronto, Ontario",2016S0503535,Lone-parent families,25 to 34 years,Median total income,Dollars,81,units,0,v21249848,19.2.3.23,28170,,,,0
2015,"Toronto, Ontario",2016S0503535,Lone-parent families,25 to 34 years,Median total income,Dollars,81,units,0,v21249848,19.2.3.23,29520,,,,0
2016,"Toronto, Ontario",2016S0503535,Lone-parent families,25 to 34 years,Median total income,Dollars,81,units,0,v21249848,19.2.3.23,31480,,,,0
2017,"Toronto, Ontario",2016S0503535,Lone-parent families,25 to 34 years,Median total income,Dollars,81,units,0,v21249848,19.2.3.23,31930,,,,0
